[11:05:58.321] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:05:58.330] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:05:58.330] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:06:07.308] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:06:07.320] INFO  🔵 SQL | 1 ms | select * from `expense_dev`.`category` where 1=0
[11:06:07.325] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:06:28.792] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:06:28.800] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:06:28.801] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:06:39.762] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:06:39.772] INFO  🔵 SQL | 1 ms | select * from `expense_dev`.`category` where 1=0
[11:06:39.774] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:06:58.972] INFO  🔵 SQL | 1 ms | select * from `expense_dev`.`users` where 1=0
[11:06:58.983] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:06:58.988] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:07:09.840] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:07:09.844] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:07:09.847] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:07:28.295] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:07:28.302] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:07:28.312] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:07:39.658] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:07:39.661] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:07:39.662] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:07:58.148] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:07:58.153] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:07:58.155] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:08:10.211] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:08:10.215] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:08:10.216] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:08:28.521] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:08:28.526] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:08:28.528] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:08:40.610] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:08:40.615] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:08:40.615] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:08:58.517] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:08:58.521] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:08:58.521] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:09:10.749] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:09:10.757] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:09:10.759] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:09:27.022] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:09:27.026] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:09:27.027] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:09:44.128] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:09:44.135] INFO  🔵 SQL | 1 ms | select * from `expense_dev`.`category` where 1=0
[11:09:44.139] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:09:56.490] INFO  🔵 SQL | 3 ms | select * from `expense_dev`.`users` where 1=0
[11:09:56.498] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:09:56.500] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:10:14.783] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:10:14.785] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:10:14.788] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:10:23.093] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:10:23.100] INFO  🔵 SQL | 1 ms | select * from `expense_dev`.`category` where 1=0
[11:10:23.103] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:10:44.050] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:10:44.062] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:10:44.062] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:10:55.824] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:10:55.830] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:10:55.830] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:11:14.580] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:11:14.584] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:11:14.584] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:11:25.990] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:11:26.000] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:11:26.002] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:11:47.114] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:11:47.119] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:11:47.121] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:11:55.411] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:11:55.415] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:11:55.417] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:12:15.595] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:12:15.602] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
